PostalCode,Latitude,Longitude
V5K,49.27599265,-123.0155016
V5L,49.27809614,-123.0656374
V5M,49.25978064,-123.0421848
V5N,49.25586765,-123.0666688
V5P,49.22387411,-123.0678658
V5R,49.23998103,-123.0403239
V5S,49.21974923,-123.0416228
V5T,49.26168801,-123.0932366
V5V,49.2489344,-123.0907359
V5W,49.23257981,-123.0918103
V5X,49.21698688,-123.0951907
V5Y,49.25132891,-123.1101722
V5Z,49.2516543,-123.1194511
V6A,49.27884852,-123.091062
V6B,49.27875518,-123.1124789
V6C,49.28547097,-123.1164829
V6E,49.28385403,-123.1276023
V6G,49.28878988,-123.135592
V6H,49.256903,-123.1309465
V6J,49.25947025,-123.1417972
V6K,49.26507298,-123.1621194
V6L,49.250273,-123.1625246
V6M,49.23451568,-123.146084
V6N,49.23405383,-123.1792362
V6P,49.2163551,-123.1342267
V6R,49.26522607,-123.1951613
V6S,49.2506106,-123.1883662
V6T,49.26786968,-123.2394749
V6Z,49.27708789,-123.1253886
V7G,49.31791594,-122.9563663
V7H,49.3180613,-122.997183
V7J,49.32478028,-123.0339802
V7K,49.34391179,-123.0387648
V7L,49.3175607,-123.0613949
V7M,49.32147233,-123.0799714
V7N,49.34040325,-123.0738326
V7P,49.32335078,-123.1097868
V7R,49.34834225,-123.0995091
V7S,49.3504879,-123.1552713
V7T,49.32846889,-123.144993
V7V,49.33774756,-123.1838546
V7W,49.35692353,-123.2640791
V7X,49.26164877,-123.1125358
V7Y,49.2818394,-123.1239581
